"","Category","meanReviews","meanRating"
"1","ART_AND_DESIGN",27651.1612903226,4.35806451612903
"2","AUTO_AND_VEHICLES",15940.1369863014,4.19041095890411
"3","BEAUTY",9407.92857142857,4.27857142857143
"4","BOOKS_AND_REFERENCE",123363.258426966,4.34606741573034
"5","BUSINESS",46053.0891089109,4.12145214521452
"6","COMICS",58309.3965517241,4.1551724137931
"7","COMMUNICATION",2486164.02134146,4.15853658536585
"8","DATING",37389.9435897436,3.97076923076923
"9","EDUCATION",255451.677419355,4.38903225806452
"10","ENTERTAINMENT",397168.818791946,4.1261744966443
"11","EVENTS",3568.66666666667,4.43555555555556
"12","FAMILY",234815.730394963,4.19227246708643
"13","FINANCE",54335.6222910217,4.13188854489164
"14","FOOD_AND_DRINK",81495.495412844,4.16697247706422
"15","GAME",1445232.06654512,4.28632634457612
"16","HEALTH_AND_FITNESS",127587.952861953,4.27710437710438
"17","HOUSE_AND_HOME",52315.8421052632,4.19736842105263
"18","LIBRARIES_AND_DEMO",15900.5384615385,4.17846153846154
"19","LIFESTYLE",40894.5650793651,4.08793650793651
"20","MAPS_AND_NAVIGATION",247250.483870968,4.05161290322581
"21","MEDICAL",4530.34857142857,4.18914285714286
"22","NEWS_AND_MAGAZINES",233475.961373391,4.13218884120172
"23","PARENTING",19072.18,4.3
"24","PERSONALIZATION",284540.812101911,4.3359872611465
"25","PHOTOGRAPHY",673553.965299685,4.19211356466877
"26","PRODUCTIVITY",325118.851851852,4.21139601139601
"27","SHOPPING",483365.68487395,4.25966386554622
"28","SOCIAL",2398614.25096525,4.25559845559846
"29","SPORTS",222036.263322884,4.22351097178683
"30","TOOLS",372185.514986376,4.04741144414169
"31","TRAVEL_AND_LOCAL",277069.787610619,4.10929203539823
"32","VIDEO_PLAYERS",689873.075,4.06375
"33","WEATHER",194729.266666667,4.244
